OBJECTID,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,HSD baseline 1981-2000 lower,HSD baseline 1981-2000 median,HSD baseline 1981-2000 upper,HSD baseline 2001-2020 lower,HSD baseline 2001-2020 median,HSD baseline 2001-2020 upper,HSD 1.5°C lower,HSD 1.5°C median,HSD 1.5°C upper,HSD 2°C lower,HSD 2°C median,HSD 2°C upper,HSD 2.5°C lower,HSD 2.5°C median,HSD 2.5°C upper,HSD 3°C lower,HSD 3°C median,HSD 3°C upper,HSD 4°C lower,HSD 4°C median,HSD 4°C upper,Shape__Area,Shape__Length
564,52.19021,0.66118,258000,582000,0.9,1,1.3,2.8,3.7,6.2,3.1,4.7,9.6,5,8,11,7,10.5,14.1,10.4,13.8,22.1,18.6,23.1,34.6,382505263.72998,78231.0592046358
565,52.18612,0.83651,258000,594000,0.7,0.8,1.1,2.4,3.3,5.4,2.8,4.4,8.8,4.3,7.3,10.3,6.3,9.6,13.7,10,13.1,21,18.2,22.2,33.2,382396786.417725,78219.9649213035
566,52.18177,1.01179,258000,606000,0.7,0.8,1,2.4,3,5,2.8,4,8.8,4.3,7,10.2,5.9,9.3,13.5,9.6,13.1,20.3,17.6,21.4,32.7,382269396.814453,78206.936045591
567,52.17717,1.18703,258000,618000,0.4,0.6,0.8,1.8,2.6,4.5,2.1,3.4,7.7,3.7,6.1,8.7,5,8,11.3,8.3,11.6,17.5,15.8,19.5,29.9,382148785.717957,78194.5972598955
568,52.1723,1.36222,258000,630000,0.4,0.5,0.6,1.4,2.6,4.6,1.7,3,7.4,3.3,5.6,8.2,5.1,7.9,10.4,8,11.3,16,14.3,18.1,27,382017317.29895,78181.145519661
569,52.16717,1.53736,258000,642000,0,0.2,0.2,0.4,0.8,1.8,0.5,1,3.1,1.2,2.1,4,2,3.2,4.4,3.3,6.2,8.6,8,11.2,17,381878853.679749,78166.9758207768
570,52.30631,-4.25987,270000,246000,0,0.1,0.1,0.3,0.7,1.4,0.3,1,1.4,0.6,1.2,1.8,0.8,1.1,2,1.2,1.6,4.3,3,4,7.4,382651044.640625,78246.7124262698
571,52.3097,-4.08434,270000,258000,0,0.1,0.1,0.2,0.6,1.2,0.3,0.8,1.4,0.3,1,1.5,0.5,1,1.8,1,1.6,4.4,2.9,3.7,7,384686341.595703,78453.7810397529
572,52.31267,-3.90843,270000,270000,0,0.1,0.2,0.5,0.7,1.6,0.5,1,1.6,0.6,1.2,2.1,0.9,1.2,2.9,1.6,2.4,5,3.7,5.1,10,384767635.704346,78462.0701485381
573,52.31539,-3.73249,270000,282000,0,0,0,0.2,0.3,0.8,0.2,0.5,1,0.3,0.7,1.1,0.3,0.6,1.4,0.7,1.5,3.1,2.7,3.4,7,384842878.481201,78469.7415882515
