OBJECTID,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,HSD baseline 1981-2000 lower,HSD baseline 1981-2000 median,HSD baseline 1981-2000 upper,HSD baseline 2001-2020 lower,HSD baseline 2001-2020 median,HSD baseline 2001-2020 upper,HSD 1.5°C lower,HSD 1.5°C median,HSD 1.5°C upper,HSD 2°C lower,HSD 2°C median,HSD 2°C upper,HSD 2.5°C lower,HSD 2.5°C median,HSD 2.5°C upper,HSD 3°C lower,HSD 3°C median,HSD 3°C upper,HSD 4°C lower,HSD 4°C median,HSD 4°C upper,Shape__Area,Shape__Length
1,50.00422,-5.65752,18000,138000,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.3,0.1,0.1,0.5,0.2,0.4,0.9,0.7,1.5,3.8,349874958.76709,74820.6523631543
2,50.00927,-5.49021,18000,150000,0,0,0,0,0,0.2,0,0.1,0.2,0,0.2,0.4,0.1,0.2,0.6,0.3,0.6,1.4,1.3,2,5.2,350058340.156738,74840.6514105512
3,50.01438,-5.32336,18000,162000,0,0,0,0,0,0.3,0,0.1,0.2,0.1,0.2,0.4,0.1,0.3,0.6,0.4,0.6,1.5,1.8,2.7,5.8,348123010.667725,74633.3657535459
4,50.01916,-5.1563,18000,174000,0,0,0,0,0.1,0.4,0,0.1,0.4,0.1,0.2,0.6,0.1,0.3,0.7,0.3,0.7,2,1.7,2.9,7.2,348225317.440186,74643.2804296614
5,50.02333,-4.98858,18000,186000,0,0,0,0,0,0.3,0,0.1,0.3,0,0.1,0.6,0.1,0.2,0.5,0.3,0.6,1.8,1.5,2.5,6.5,350455028.663086,74882.4222961687
6,50.11212,-5.66606,30000,138000,0,0,0,0,0,0.1,0,0,0.2,0,0.1,0.3,0.1,0.2,0.5,0.2,0.5,1,1,1.8,4.5,349416828.40918,74770.8738571417
7,50.1173,-5.49855,30000,150000,0,0,0,0,0,0.2,0,0.1,0.2,0.1,0.3,0.4,0.2,0.3,0.7,0.3,0.7,1.9,2,2.6,6.6,349545740.612305,74784.665272166
8,50.12223,-5.33099,30000,162000,0,0,0,0,0.2,0.4,0.1,0.2,0.4,0.1,0.4,0.7,0.2,0.4,1,0.6,1,2.4,2.4,3.2,7,349666888.625244,74797.623817957
9,50.12692,-5.16339,30000,174000,0,0,0,0,0.2,0.4,0.1,0.2,0.5,0.1,0.3,0.8,0.4,0.6,0.9,0.7,1.1,2.7,2.6,3.7,9.1,349782950.641846,74810.0357116607
10,50.13126,-4.99555,30000,186000,0,0,0,0,0.1,0.4,0.1,0.2,0.4,0.1,0.2,0.7,0.3,0.5,1,0.7,1.1,2.8,2.5,3.5,9,351026874.62915,74943.1382442366
11,50.15795,-3.6527,30000,282000,0,0,0,0,0.1,0.5,0,0.1,0.7,0.1,0.3,1,0.3,0.5,1,0.7,1.2,3.2,2.4,5.1,10.6,352586516.302979,75110.6878189122
12,50.21963,-5.67399,42000,138000,0,0,0,0,0,0.2,0,0.1,0.2,0,0.2,0.3,0.1,0.2,0.6,0.2,0.6,1.2,1.1,2,5,349026252.159912,74729.8998296767
13,50.22502,-5.50643,42000,150000,0,0,0,0,0,0.4,0,0.1,0.3,0,0.2,0.6,0.1,0.3,0.6,0.3,0.6,1.6,1.4,2.2,5.5,351114856.852783,74952.3316549036
14,50.22997,-5.3385,42000,162000,0,0,0,0,0.2,0.4,0.1,0.2,0.4,0.2,0.4,0.8,0.3,0.5,1,0.5,1.2,2.3,2.7,3.2,6.7,351238358.815918,74965.5124211609
15,50.23468,-5.17052,42000,174000,0,0,0,0,0.2,0.5,0.2,0.3,0.6,0.2,0.6,1,0.4,0.7,1.6,0.7,1.5,3.4,3,3.6,8.4,351356652.182617,74978.1348276142
16,50.23914,-5.0025,42000,186000,0,0,0,0,0.3,0.7,0.2,0.3,0.8,0.4,0.6,1.1,0.6,0.9,1.7,1,1.7,4.1,4.1,4.9,11,351466092.727051,74989.8109522075
17,50.24337,-4.83444,42000,198000,0,0,0,0,0.2,0.8,0.1,0.3,0.8,0.3,0.6,1.2,0.7,1,2.2,0.9,1.9,4.7,4.2,5.1,11.6,351570855.869873,75000.985910302
18,50.26075,-3.99337,42000,258000,0,0,0,0,0.2,0.8,0.1,0.3,0.8,0.3,0.5,1.2,0.4,0.7,1.6,1,1.5,4.5,3.2,5.8,12.9,351834015.970459,75030.2134604547
19,50.2636,-3.82531,42000,270000,0,0,0,0,0.3,0.8,0.1,0.3,1,0.3,0.6,1.4,0.6,0.8,1.6,1.3,1.7,4.6,3.4,7,14.2,352081976.831543,75055.484918554
20,50.26613,-3.65702,42000,282000,0,0,0,0,0.2,0.8,0.1,0.4,1.2,0.4,0.8,1.6,0.8,1.1,2.1,1.6,2.1,5.4,4.5,7.2,15.2,352143320.395996,75062.0233641848
21,50.34243,-5.17769,54000,174000,0,0,0,0,0.2,0.4,0.1,0.2,0.3,0.1,0.4,0.7,0.3,0.5,1.1,0.6,1.1,2.7,2.4,3.1,7.2,352940166.665283,75146.9025546797
22,50.34692,-5.00929,54000,186000,0.1,0.2,0.2,0.3,0.6,1,0.4,0.8,1.3,1,1.2,1.8,1.2,1.6,3.3,1.9,2.7,6.5,5.6,6.7,13.3,353053288.42334,75158.9444643213
23,50.35115,-4.84085,54000,198000,0,0,0,0.1,0.4,1,0.2,0.5,1.2,0.6,1,1.6,0.8,1.4,3,1.6,2.4,6.3,5.5,7.2,15,353163630.146484,75170.6882288158
24,50.35515,-4.67237,54000,210000,0,0,0,0.1,0.3,0.9,0.3,0.5,1.3,0.7,1,1.7,0.9,1.5,3,1.8,2.5,6.3,5.6,8,16,353262372.396973,75181.1961602011
25,50.3589,-4.50385,54000,222000,0,0,0.1,0.1,0.3,0.9,0.1,0.3,0.9,0.4,0.8,1.3,0.7,1.2,2.4,1.5,2.1,5.3,5.1,6.8,14.8,353358245.708252,75191.3966986322
26,50.36241,-4.3353,54000,234000,0,0,0.2,0.2,0.6,1.4,0.4,0.7,2,0.9,1.5,2.4,1.1,1.9,4,2.6,3,7.6,6.5,9,17.9,353443847.664551,75200.5035636557
27,50.36568,-4.16671,54000,246000,0,0.1,0.2,0.2,0.6,1.6,0.3,0.7,1.9,0.9,1.4,2.5,1.2,2.2,4.5,2.9,3.4,8.5,6.9,9.6,18.9,353525858.521973,75209.2272362877
28,50.3687,-3.99809,54000,258000,0,0.1,0.2,0.2,0.5,1.6,0.3,0.6,2,0.8,1.2,2.6,1.1,2,4.3,2.7,3.1,7.9,6.5,9.1,18.7,353601726.316406,75217.2973152488
29,50.37147,-3.82945,54000,270000,0,0.1,0.2,0.2,0.6,1.4,0.3,0.9,2.3,0.9,1.5,2.7,1.2,2.2,4.7,3,3.9,9,7.7,10.3,19.6,353675102.236572,75225.1014968411
30,50.374,-3.66078,54000,282000,0,0,0,0.2,0.5,1,0.2,0.7,2,0.5,1.4,2.2,1,1.7,3,2.5,2.9,6.6,6.1,8.8,17.6,353741551.139404,75232.1674771513
31,50.37629,-3.49209,54000,294000,0,0,0,0,0.3,0.8,0.1,0.4,1.2,0.3,0.8,1.5,0.8,1.3,2.2,1.6,2,4.9,4.5,7,14.6,353790925.051758,75237.4173740539
32,50.45,-5.18458,66000,174000,0,0,0,0,0.2,0.6,0.1,0.3,0.6,0.2,0.5,1.1,0.6,0.7,1.6,0.9,1.5,3.4,3,3.9,8.9,352543864.592529,75105.545850094
33,50.45469,-5.01613,66000,186000,0,0.1,0.2,0.3,0.5,1.2,0.3,0.7,1.2,0.7,1.1,1.8,1,1.2,3,1.7,1.9,4.8,4.1,5.5,9.9,354654259.675293,75329.160709504
34,50.45894,-4.84731,66000,198000,0.1,0.2,0.2,0.4,0.6,1.6,0.6,1,2.1,1,1.7,2.8,1.4,2.2,4,2.7,3.1,7.1,6.1,8.1,15,354762789.315674,75340.6855079052
35,50.46295,-4.67844,66000,210000,0,0.1,0.2,0.3,0.6,1.6,0.4,0.9,2.1,0.8,1.5,2.7,1.2,2,3.9,2.5,3,7.5,6.6,8.5,16.1,354864363.221436,75351.4705216417
36,50.46672,-4.50954,66000,222000,0,0.1,0.2,0.3,0.7,1.5,0.5,0.9,2.3,1,1.6,2.9,1.4,2.1,4.3,2.6,3.3,8,7,9.4,17.5,354962662.526611,75361.9056975036
37,50.47024,-4.34061,66000,234000,0.1,0.1,0.3,0.4,0.9,1.8,0.8,1.1,2.8,1.4,1.9,3.4,1.9,2.9,5.7,3.7,4.5,9.8,8.1,10.8,19.8,355050890.727295,75371.2711090371
38,50.47352,-4.17164,66000,246000,0.2,0.2,0.2,0.5,1.2,2,0.8,1.3,3,1.5,2.2,3.6,2.3,3.3,6.8,4.2,5.7,11.1,9,12.4,22.8,355135991.427734,75380.3028605993
39,50.47655,-4.00264,66000,258000,0,0,0.1,0,0.4,1.2,0.1,0.4,1.2,0.4,0.9,1.6,0.7,1.2,3.1,1.6,2.2,6.2,4.5,6.8,14.8,355210673.455811,75388.2287694377
40,50.47934,-3.83361,66000,270000,0,0,0.1,0.1,0.4,1.3,0.1,0.6,1.5,0.5,0.9,2,0.8,1.3,3.4,1.9,2.5,6.8,5,7.9,16.2,355282861.202393,75395.8890810476
41,50.48188,-3.66456,66000,282000,0.1,0.2,0.2,0.4,0.8,1.7,0.4,1,2.6,1.1,2,3.1,2,2.5,5.3,4.1,4.9,9.8,8.3,11.5,21.8,355347037.982666,75402.6978880011
42,50.48417,-3.49548,66000,294000,0,0,0,0,0.4,0.8,0.1,0.4,1.4,0.3,0.9,1.8,0.9,1.4,2.5,1.9,2.3,4.9,5,7,15.4,355399232.744629,75408.2351507367
43,50.56238,-5.02288,78000,186000,0,0,0.1,0.2,0.4,1,0.3,0.6,1.1,0.6,0.9,1.5,0.8,1.2,2.8,1.5,2,4.7,4,5.4,10.1,355505849.783447,75419.6551076491
44,50.56673,-4.8538,78000,198000,0,0,0.1,0.2,0.6,1.1,0.3,0.7,1.4,0.7,1.1,1.8,0.9,1.5,3,1.6,2.3,5.4,4.3,5.7,10.7,356378211.220703,75512.0231973625
45,50.57075,-4.68455,78000,210000,0,0.1,0.2,0.2,0.6,1.3,0.4,0.8,1.2,0.8,1.2,2,0.8,1.6,3.2,1.8,2.4,5.9,4.7,5.9,12.6,356480232.401611,75522.8309724902
46,50.57453,-4.51527,78000,222000,0,0.1,0.2,0.3,0.5,1.6,0.3,0.7,1.4,0.6,1.2,2.1,1,1.6,3.7,2.1,2.6,6.5,5.2,7.1,14.6,356576578.95459,75533.0361093456
47,50.57807,-4.34595,78000,234000,0.1,0.2,0.4,0.6,1.1,2.2,0.8,1.3,3,1.6,2,3.8,2.1,3.2,5.7,4,5,10,8.3,11.8,20.8,356668648.682373,75542.7867745221
48,50.58136,-4.17659,78000,246000,0.1,0.2,0.2,0.4,1.2,2,0.5,1.4,2.7,1.2,1.8,3.3,1.8,2.8,5.8,3.6,4.5,9.4,8.2,11.3,20.4,356754711.465088,75551.8999881168
49,50.5844,-4.00721,78000,258000,0,0,0,0,0.2,1,0,0.4,1,0.1,0.5,1.2,0.3,0.7,1.9,1,1.4,4.6,3.5,4.9,12,356831388.370605,75560.0189803901
50,50.5872,-3.8378,78000,270000,0,0,0.1,0.1,0.4,1.4,0.1,0.6,1.4,0.3,0.9,1.8,0.6,1.2,2.7,1.6,2.1,5.5,4.7,6.8,14.5,356901489.249512,75567.4403612387
51,50.58975,-3.66836,78000,282000,0.2,0.2,0.2,0.6,1,2.2,0.7,1.2,3.2,1.2,2,3.9,2,3.2,6.7,4.1,5.1,10.6,9.4,12.2,21.7,356961849.387939,75573.8298391349
52,50.59205,-3.4989,78000,294000,0,0,0.2,0.2,0.4,1.1,0.2,0.6,1.8,0.7,1,2.2,1,1.5,3.3,2.1,2.6,5.8,5.6,7.5,15.4,357016710.988525,75579.6379893724
53,50.5939,-3.32903,78000,306000,0,0,0.1,0.2,0.4,1.2,0.3,0.7,1.8,0.7,1.2,2.3,1.1,1.6,3.6,2.6,2.9,6.3,6.2,8.4,16.6,359303781.832031,75822.2341172169
54,50.5998,-2.65108,78000,354000,0,0.2,0.3,0.5,0.9,2,0.7,1.1,3.2,1.3,2.1,3.3,1.9,2.7,5,3.8,5.4,8.4,8.2,12,20,356836560.293579,75561.8589987998
55,50.6007,-2.48177,78000,366000,0.2,0.2,0.3,0.6,1.1,2.4,0.7,1.5,3.8,1.4,2.6,3.8,2.3,3.1,5.6,4.6,6.1,9.7,9.3,13.5,21.2,357235157.845947,75602.7562942825
56,50.60128,-2.31222,78000,378000,0.2,0.2,0.4,0.6,1,2.1,0.6,1.2,3.3,1.1,2.1,3.5,2,3,5,4.1,5.6,8.8,8.6,12,19.8,357247608.769409,75604.0739986034
57,50.60161,-2.14266,78000,390000,0.1,0.2,0.2,0.4,0.8,2,0.5,1.1,3.2,1,2,3.6,2,2.6,4.7,4,5,7.8,8.3,11.7,20.1,357259450.064209,75605.3268574784
58,50.6017,-1.97309,78000,402000,0,0,0,0,0.3,0.9,0.1,0.5,1.7,0.6,0.8,2.1,0.8,1.4,2.2,1.8,2.6,4.1,4.2,7.7,11.7,357258049.136597,75605.178685744
59,50.6004,-1.46414,78000,438000,0.2,0.2,0.2,0.4,0.9,2.2,0.4,1.2,3.3,1,2.1,3.6,1.9,2.5,4.3,3.5,4.9,7.6,7.2,11.4,17.1,356705599.754028,75548.1751468961
60,50.59957,-1.29487,78000,450000,0,0.1,0.2,0.2,0.7,1.8,0.4,1,2.8,0.8,1.7,3.2,1.6,2.2,3.9,3.1,4.3,6.5,6.7,10.4,15.7,357201251.930969,75599.1683631308
61,50.59819,-1.1249,78000,462000,0.1,0.1,0.2,0.2,0.8,2,0.4,1,2.9,0.8,1.8,3.2,1.7,2.3,3.9,3.1,4.5,6.6,6.7,10.6,15.8,359687465.489319,75862.9907890436
62,50.67855,-4.6907,90000,210000,0,0.1,0.1,0.2,0.4,0.8,0.2,0.4,0.9,0.4,0.8,1.3,0.5,1,2.5,1.1,1.7,4.2,3.9,4.3,9.1,358111690.011475,75695.4511270668
63,50.68234,-4.52103,90000,222000,0.2,0.2,0.2,0.5,0.8,1.8,0.6,1,1.8,1,1.7,2.8,1.2,2.3,4.4,2.5,3.2,7.9,6.1,7.6,15,358205735.087402,75705.3897558742
64,50.68589,-4.35132,90000,234000,0.2,0.3,0.4,0.8,1.3,2.4,1,1.7,3.1,1.5,2.5,3.8,2.2,3.5,6.6,4.1,5.4,11.2,8.8,11.6,20.5,358297889.116455,75715.1266801032
65,50.68919,-4.18158,90000,246000,0.1,0.2,0.3,0.4,1.1,2.1,0.5,1.3,2.4,1.1,1.9,3.2,1.6,2.9,5.2,3.5,4.4,9.8,7.8,10.4,19.8,358382446.777832,75724.0601485567
66,50.69225,-4.01181,90000,258000,0,0,0.1,0.2,0.4,1.6,0.2,0.6,1.4,0.3,0.8,1.6,0.5,1.1,2.5,1.5,2.3,5.7,4.5,6.3,14.2,358457246.338379,75731.9621213014
67,50.69506,-3.84201,90000,270000,0,0.1,0.2,0.2,0.6,1.8,0.3,0.7,2.1,0.5,1.3,2.5,1.2,2.3,4.2,2.6,3.3,8,6.9,8.8,18,358528742.152588,75739.5139779213
68,50.69762,-3.67218,90000,282000,0.1,0.2,0.2,0.5,0.9,2.2,0.5,1,2.9,1,1.7,3.2,1.7,2.8,5.2,3.3,4.4,8.6,7.7,10.5,20.5,358591225.799561,75746.1140028543
69,50.69993,-3.50233,90000,294000,0.2,0.3,0.5,0.7,1.2,2.5,0.8,1.5,4.2,1.4,2.8,4.4,2.7,3.7,7,5.1,6.3,11,10.4,13.9,24.1,358650282.61792,75752.3515289501
70,50.702,-3.33246,90000,306000,0,0.1,0.2,0.4,0.8,1.8,0.5,1,2.4,1,1.8,3,1.8,2.5,4.9,3.6,4.3,8.3,8.1,11.2,20.2,358704441.307617,75758.0708443754
71,50.70381,-3.16258,90000,318000,0,0.1,0.2,0.3,0.7,1.8,0.5,1,2.6,0.9,1.5,3,1.4,2.2,4.4,3,4,7.8,7.4,9.9,18.7,358756453.682861,75763.5630755751
72,50.70538,-2.99267,90000,330000,0.1,0.2,0.3,0.5,0.9,2,0.7,1.2,3.4,1.4,2.1,3.6,1.7,2.9,5,3.9,5.1,9,8.4,11.9,21,358794111.659546,75767.539139535
73,50.70671,-2.82275,90000,342000,0,0.1,0.2,0.4,0.8,1.5,0.6,0.9,2.9,1,1.7,3.2,1.4,2.4,4.3,3.4,4.6,7.6,7.4,11.3,19.6,358827487.454956,75771.0628774782
74,50.70778,-2.65282,90000,354000,0,0.1,0.2,0.4,0.7,1.8,0.6,0.9,2.7,1.1,1.7,3,1.3,2.1,4.4,3.1,4.5,7.3,7,10.5,17.8,358850777.07312,75773.521643428
75,50.70861,-2.48288,90000,366000,0.4,0.4,0.5,1.1,1.6,3,1,2,5.5,2,3.4,5.9,3.3,4.5,6.9,5.6,7.5,11.9,11.1,15.9,24.3,358869900.249634,75775.5409711062
76,50.70919,-2.31293,90000,378000,0.4,0.4,0.8,1.4,1.8,3.7,1.3,2.4,6.5,2.5,4.3,7,4.6,5.6,8.2,7.5,9.2,14.2,13.8,18,26.8,358885763.476929,75777.2161261721
77,50.70953,-2.14298,90000,390000,0.6,0.6,0.8,1.6,2.3,4.2,1.5,3,7,2.7,5.1,7.8,5.3,6.5,9,8.2,10.2,15.6,15.7,20,29.9,358896392.92041,75778.3378912743
78,50.70961,-1.97303,90000,402000,0.3,0.4,0.6,1,1.8,3.5,1.1,2.1,5.8,2.1,4,6.2,4,5,7.8,7,8.5,13,13,17.8,27,358896661.917603,75778.3666618989
79,50.70945,-1.80308,90000,414000,0.3,0.4,0.6,1.2,1.8,3.4,1.2,2.2,5.6,2.3,3.9,5.8,3.8,4.8,7.6,6.2,8.3,12.8,12.5,17,26.6,358885972.636963,75777.2376987239
80,50.70904,-1.63313,90000,426000,0.3,0.5,0.6,1.2,1.8,3.4,1.2,2.2,5.1,2.7,3.9,5.8,3.3,4.9,7.8,5.8,7.9,13,12.3,15.8,25.8,358878546.852539,75776.4536758279
81,50.70838,-1.46319,90000,438000,0.2,0.2,0.4,0.7,1.3,3,0.8,1.5,4,1.6,2.6,4.3,2.5,3.4,6,4.5,5.9,9.9,9.5,12.6,21.5,358860449.795105,75774.543367539
82,50.70747,-1.29325,90000,450000,0.2,0.3,0.4,0.8,1.6,3.2,0.9,1.8,4.9,1.8,3.3,5.6,3.2,4.2,6.7,5,7.5,11,10.7,14.9,21.8,358837889.099487,75772.1614627257
83,50.70632,-1.12333,90000,462000,0.2,0.3,0.4,0.7,1.4,2.7,0.7,1.5,4.5,1.6,2.9,5.1,2.6,3.5,6.2,4.5,6.4,9.9,9.7,13.8,20.5,358814548.956482,75769.6959959792
84,50.70304,-0.78305,90000,486000,0.2,0.2,0.4,0.6,1,2.6,0.8,1.3,4.2,1.6,2.8,4.7,2.3,3.3,4.8,4.3,5.6,8.9,8.5,11.7,19.1,361244645.636353,76027.047280327
85,50.68788,0.23623,90000,558000,0,0.1,0.1,0.2,0.4,1.8,0.2,0.6,2.2,0.6,1.4,2.8,0.6,2,2.8,2,2.8,5.6,5,6.6,12.9,360292609.200638,75927.8843153702
86,50.78616,-4.69654,102000,210000,0,0.2,0.2,0.4,0.7,1.4,0.5,0.9,1.3,0.8,1.3,2,1.1,1.6,3.5,2,2.5,6.7,5,6.2,12.7,357725791.569824,75655.5115294482
87,50.79015,-4.52683,102000,222000,0.2,0.2,0.2,0.8,1.1,1.8,0.8,1.4,2,1.2,1.9,3,1.7,2.4,4.6,2.7,3.9,8,6.1,7.7,14.3,359851031.984375,75879.0536580996
88,50.79371,-4.35673,102000,234000,0.3,0.4,0.4,1,1.4,2.4,1,1.7,2.9,1.4,2.3,3.5,2.1,3.2,5.6,3.5,4.9,10.2,7.8,9.8,18.1,359942182.14917,75888.6626076451
89,50.79703,-4.1866,102000,246000,0.2,0.2,0.3,0.6,1.2,2.2,0.7,1.5,2.8,1.3,2,3.3,1.8,2.9,5.3,3.1,4.4,9.8,7.3,10,19.2,360026227.025879,75897.5212331334
90,50.8001,-4.01644,102000,258000,0.2,0.2,0.3,0.5,1.2,2.2,0.6,1.3,2.7,1.4,1.9,3.5,1.7,3.1,5.5,3.6,4.7,10.3,7.9,10.8,20.1,360100308.097412,75905.3297077606
91,50.80291,-3.84625,102000,270000,0.2,0.2,0.3,0.6,1.2,2.2,0.7,1.2,3.1,1.3,1.9,3.8,1.6,3.3,5.9,3.6,4.9,10.5,8,11.1,20.8,360172070.833008,75912.8925194192
92,50.80548,-3.67603,102000,282000,0.2,0.2,0.4,0.8,1.3,2.6,0.9,1.6,3.8,1.5,2.5,4.4,2.6,3.9,7,4.5,5.9,11,9.6,13.2,23.2,360242016.939453,75920.2639534849
93,50.80781,-3.50579,102000,294000,0.2,0.3,0.4,0.8,1.4,2.6,1,1.7,4.3,1.6,2.8,5,2.9,4.4,6.8,5,6.4,11.1,10.7,14.4,24.4,360301949.336182,75926.5794009188
94,50.80988,-3.33553,102000,306000,0.2,0.3,0.5,0.8,1.2,2.6,0.8,1.7,4.5,1.4,2.9,4.7,2.7,3.8,6.4,5.3,6.5,10.8,10.6,14.2,24.1,360354578.453369,75932.1245095414
95,50.8117,-3.16525,102000,318000,0.2,0.2,0.4,0.6,1,2.2,0.7,1.3,3.8,1.6,2.3,4,1.8,3.3,6.1,4.1,5.5,9.7,8.9,12.1,21.7,360404694.095703,75937.4034731469
96,50.81328,-2.99496,102000,330000,0.3,0.4,0.6,1,1.5,3,1.2,2,5,2.5,3.4,5.5,2.7,4.8,7.8,5.9,7.5,12.4,11.6,15.4,26.1,360444702.229614,75941.6187774649
97,50.81461,-2.82464,102000,342000,0.4,0.4,0.6,1,1.6,3.2,1,2,5.2,2,3.3,5.3,2.8,4.4,6.9,5.9,7,12.1,11.1,15,24.5,360479112.822144,75945.2433308784
98,50.81569,-2.65432,102000,354000,0.2,0.3,0.4,0.8,1.5,2.9,1,1.9,4.8,1.8,3.1,5.3,2.7,4,6.3,5,6.5,11.4,10.1,13.5,23.3,360499230.285645,75947.3630831789
99,50.81652,-2.48399,102000,366000,0.3,0.4,0.6,1,1.6,3,1.1,2.1,5.1,1.9,3.4,6,3.1,4.6,6.9,5.8,7.2,12.5,11,15,24.6,360521104.442993,75949.6667245712
100,50.8171,-2.31366,102000,378000,0.4,0.6,0.7,1.2,1.8,3.5,1.2,2.4,5.7,2.1,4.1,7.1,3.8,5.8,7.9,6.8,8.6,13.9,12.8,17,27.2,360537573.65918,75951.4013907808
101,50.81744,-2.14331,102000,390000,0.6,0.8,1,1.8,2.7,4.2,1.8,3.4,7.3,3.1,5.6,9,5.3,7.6,10.4,8.4,11.5,17.1,17.3,21,33.3,360546359.501831,75952.3272951743
102,50.81752,-1.97297,102000,402000,0.9,1,1.2,2.3,3,5.2,2.1,4,8.3,4.1,6.5,9.6,6.4,8.1,11.5,9.5,13,18.3,19.4,22.9,35.7,360550461.786865,75952.7589308257
103,50.81736,-1.80263,102000,414000,0.9,1.1,1.3,2.1,3.2,5.2,2.3,3.9,7.9,4.2,6.5,9.2,6.4,7.9,11.5,9.3,12.4,17.6,18.6,22.1,35,360538954.557373,75951.5483098817
104,50.81695,-1.63229,102000,426000,0.8,1,1.2,1.8,2.7,4.6,2.1,3.5,7,3.9,6.2,8.4,6,7.4,11.2,8.3,11.7,16.8,16.5,20.3,31.9,360533375.598877,75950.9597106624
105,50.81629,-1.46196,102000,438000,0.6,0.6,0.8,1.4,2.3,4.3,1.8,2.9,6.5,3.4,5.4,7.8,4.7,6.6,9.9,7.5,10.3,15.7,15.6,18.9,30.7,360514848.184998,75949.0080327624
106,50.81538,-1.29163,102000,450000,0.4,0.6,0.8,1.2,2.2,3.8,1.4,2.5,6.4,2.8,4.8,7.7,4.3,6.1,9,7.1,9.3,14.4,14.3,18.7,29.3,360495285.748108,75946.9476627105
107,50.81422,-1.12131,102000,462000,0.4,0.7,0.9,1.6,2.5,4.2,1.6,3,6.8,3.2,5.4,8.4,5.1,6.8,9.8,7.7,10,14.7,14.9,20,30.9,360468282.378723,75944.1026959051
108,50.81281,-0.951,102000,474000,0.6,0.8,1,1.8,2.8,4.7,2,3.5,7.8,3.7,6.1,9.3,5.5,7.5,11.2,8.6,11.1,16,15.6,21,33,360430210.731995,75940.0915588811
109,50.81116,-0.78071,102000,486000,0.4,0.6,0.6,1.2,1.7,3.8,1.2,2.5,6,2.8,4.6,7.2,3.9,5.7,7.6,6.8,8.7,13.1,12.2,16.5,27.4,360388287.750519,75935.6755670049
110,50.80925,-0.61044,102000,498000,0.4,0.5,0.8,1,2,3.8,1.1,2.5,6.2,2.7,4.7,7.5,4,6.1,9.1,6.9,8.4,13.6,12.3,17.3,28.6,360337741.294159,75930.3505517181
111,50.8071,-0.44018,102000,510000,0.4,0.5,0.8,1,2,3.6,1.4,2.5,6,2.4,4.7,7.4,3.8,5.9,9.3,6.9,8,13,11.9,16.5,27.9,360282211.522354,75924.4995368879
112,50.8047,-0.26995,102000,522000,0.3,0.3,0.5,0.9,1.7,3.6,1.1,2,5.7,2,4.2,6.9,2.9,5.1,7.8,5.8,7.2,12.1,10.8,14.9,25.5,360218757.791931,75917.813169806
113,50.80206,-0.09975,102000,534000,0.1,0.2,0.2,0.3,1.1,2.7,0.5,1.3,4.3,1,2.3,4.8,1.8,3.3,4.9,4.1,5.1,9.7,7.9,11.3,19.3,360147543.127777,75910.3082208592
114,50.79916,0.07043,102000,546000,0.2,0.3,0.4,0.6,1.5,3.4,1,1.7,5.3,1.6,3.8,6.2,2.8,4.9,7.6,5.4,6.7,12,10.1,13.6,23.6,360070425.304767,75902.1803990973
115,50.79602,0.24058,102000,558000,0.1,0.2,0.2,0.2,1,2.6,0.7,1.2,4.1,0.9,2.5,4.7,1.8,3.1,5.2,3.9,4.9,8.8,7,10.8,17.8,359990108.57431,75893.7147738228
116,50.79238,0.41118,102000,570000,0.2,0.2,0.3,0.6,1.3,2.8,0.9,1.5,4.3,1.2,3.1,5.2,2.3,3.8,5.9,4.6,5.8,10,8.7,12.1,20.5,362596393.790268,76169.3426914565
117,50.89796,-4.53266,114000,222000,0.2,0.2,0.2,0.4,0.8,1.4,0.5,0.9,1.3,0.8,1.3,1.8,1.1,1.5,3.3,2,2.4,5.7,4.7,5.7,11.2,361510487.833008,76053.8102277478
118,50.90153,-4.36217,114000,234000,0.2,0.3,0.3,0.8,1.3,2,0.8,1.5,2.6,1.2,2,3.2,1.7,2.7,4.8,3,4.1,8.8,6.4,8,15.8,361601163.503906,76063.3474430014
119,50.90486,-4.19165,114000,246000,0.2,0.3,0.4,0.8,1.4,2.4,0.9,1.6,2.8,1.2,2.2,3.2,1.9,2.8,5.2,3.3,4.4,10.1,7.2,9.5,18.1,361684047.647949,76072.0642734478
120,50.90794,-4.0211,114000,258000,0.2,0.2,0.2,0.6,1.2,2,0.7,1.3,2.6,1.2,2,3,1.7,2.6,4.8,3.1,3.9,9.5,6.9,9.3,18.4,361764331.058838,76080.5066814232
121,50.91077,-3.85051,114000,270000,0.2,0.2,0.4,0.7,1.2,2,0.7,1.5,3.1,1.6,2.3,3.8,2,3.5,6.1,3.7,5.1,10.5,8.5,11,20.9,361836780.721191,76088.1252957435
122,50.91335,-3.67991,114000,282000,0.2,0.2,0.4,0.6,1.1,2.1,0.8,1.4,3.1,1.3,2.2,3.9,2.1,3,5.8,3.6,4.6,9.6,8,11,20.5,361908003.058594,76095.6127258012
123,50.91568,-3.50927,114000,294000,0.2,0.3,0.4,1,1.4,2.7,0.8,2,4.3,1.7,3,4.9,2.5,4,6.6,4.7,5.8,11,9.6,13.3,23.2,361965311.102783,76101.6375418493
